day,state,fips,cases,deaths,year,month
2020-06-30,Florida,12,152426,3504,2020,6
2020-06-30,Georgia,13,77280,2758,2020,6
2020-06-30,Guam,66,1228,6,2020,6
2020-06-30,Hawaii,15,901,18,2020,6
2020-06-30,Idaho,16,6124,92,2020,6
2020-06-30,Illinois,17,144661,7136,2020,6
2020-06-30,Indiana,18,46740,2640,2020,6
2020-06-30,Iowa,19,29152,717,2020,6
2020-06-30,Kansas,20,14629,276,2020,6
2020-06-30,Kentucky,21,15916,588,2020,6
2020-06-30,Louisiana,22,58203,3221,2020,6
2020-06-30,Maine,23,3253,105,2020,6
2020-06-30,Maryland,24,68152,3190,2020,6
2020-06-30,Massachusetts,25,108882,8054,2020,6
2020-06-30,Michigan,26,70850,6197,2020,6
2020-06-30,Minnesota,27,36338,1476,2020,6
2020-06-30,Mississippi,28,27248,1073,2020,6
2020-06-30,Missouri,29,22275,1037,2020,6
2020-06-30,Montana,30,967,22,2020,6
2020-06-30,Nebraska,31,19194,279,2020,6
2020-06-30,Nevada,32,18582,507,2020,6
2020-06-30,New Hampshire,33,5782,371,2020,6
2020-06-30,New Jersey,34,173521,15035,2020,6
2020-06-30,New Mexico,35,12147,497,2020,6
2020-06-30,New York,36,398142,31776,2020,6
2020-06-30,North Carolina,37,65064,1362,2020,6
2020-06-30,North Dakota,38,3585,88,2020,6
2020-06-30,Northern Mariana Islands,69,30,2,2020,6
2020-06-30,Ohio,39,51789,2863,2020,6
2020-06-30,Oklahoma,40,13757,387,2020,6
2020-06-30,Oregon,41,8695,210,2020,6
2020-06-30,Pennsylvania,42,91226,6695,2020,6
2020-06-30,Puerto Rico,72,7465,153,2020,6
2020-06-30,Rhode Island,44,16813,950,2020,6
2020-06-30,South Carolina,45,36399,739,2020,6
2020-06-30,South Dakota,46,6764,91,2020,6
2020-06-30,Tennessee,47,42815,597,2020,6
2020-06-30,Texas,48,166703,2482,2020,6
2020-06-30,Utah,49,22364,172,2020,6
2020-06-30,Vermont,50,1208,56,2020,6
2020-06-30,Virgin Islands,78,90,6,2020,6
2020-06-30,Virginia,51,62787,1763,2020,6
2020-06-30,Washington,53,34541,1333,2020,6
2020-06-30,West Virginia,54,2904,93,2020,6
2020-06-30,Wisconsin,55,31723,793,2020,6
2020-06-30,Wyoming,56,1487,20,2020,6
2020-07-31,Alabama,1,87723,1580,2020,7
2020-07-31,Alaska,2,3675,21,2020,7
2020-07-31,Arizona,4,174108,3695,2020,7
2020-07-31,Arkansas,5,42511,453,2020,7
2020-07-31,California,6,502273,9222,2020,7
2020-07-31,Colorado,8,46948,1841,2020,7
2020-07-31,Connecticut,9,49810,4432,2020,7
2020-07-31,Delaware,10,14788,585,2020,7
2020-07-31,District of Columbia,11,12126,585,2020,7
2020-07-31,Florida,12,470378,6842,2020,7
2020-07-31,Georgia,13,171342,3674,2020,7
2020-07-31,Guam,66,1325,6,2020,7
2020-07-31,Hawaii,15,2088,25,2020,7
2020-07-31,Idaho,16,20853,193,2020,7
2020-07-31,Illinois,17,180701,7703,2020,7
2020-07-31,Indiana,18,67800,2965,2020,7
2020-07-31,Iowa,19,44753,872,2020,7
2020-07-31,Kansas,20,28121,358,2020,7
2020-07-31,Kentucky,21,30981,753,2020,7
2020-07-31,Louisiana,22,116394,3949,2020,7
2020-07-31,Maine,23,3912,123,2020,7
2020-07-31,Maryland,24,88907,3493,2020,7
2020-07-31,Massachusetts,25,117612,8609,2020,7
2020-07-31,Michigan,26,90752,6453,2020,7
2020-07-31,Minnesota,27,54503,1640,2020,7
2020-07-31,Mississippi,28,58747,1663,2020,7
2020-07-31,Missouri,29,51074,1305,2020,7
2020-07-31,Montana,30,3977,60,2020,7
2020-07-31,Nebraska,31,26211,338,2020,7
2020-07-31,Nevada,32,48142,831,2020,7
2020-07-31,New Hampshire,33,6583,415,2020,7
2020-07-31,New Jersey,34,183535,15819,2020,7
2020-07-31,New Mexico,35,20600,642,2020,7
2020-07-31,New York,36,419723,32372,2020,7
2020-07-31,North Carolina,37,122370,1947,2020,7
2020-07-31,North Dakota,38,6473,107,2020,7
2020-07-31,Northern Mariana Islands,69,42,2,2020,7
2020-07-31,Ohio,39,91159,3489,2020,7
2020-07-31,Oklahoma,40,36456,541,2020,7
2020-07-31,Oregon,41,18510,325,2020,7
2020-07-31,Pennsylvania,42,116787,7261,2020,7
2020-07-31,Puerto Rico,72,16781,219,2020,7
2020-07-31,Rhode Island,44,19022,1007,2020,7
2020-07-31,South Carolina,45,89016,1712,2020,7
2020-07-31,South Dakota,46,8764,130,2020,7
2020-07-31,Tennessee,47,103144,1047,2020,7
2020-07-31,Texas,48,443090,7273,2020,7
2020-07-31,Utah,49,40258,308,2020,7
2020-07-31,Vermont,50,1414,57,2020,7
2020-07-31,Virgin Islands,78,406,8,2020,7
2020-07-31,Virginia,51,89888,2174,2020,7
2020-07-31,Washington,53,58725,1653,2020,7
2020-07-31,West Virginia,54,6642,116,2020,7
2020-07-31,Wisconsin,55,57020,943,2020,7
2020-07-31,Wyoming,56,2726,26,2020,7
2020-08-31,Alabama,1,126058,2182,2020,8
2020-08-31,Alaska,2,6075,34,2020,8
2020-08-31,Arizona,4,201866,5031,2020,8
2020-08-31,Arkansas,5,61224,797,2020,8
2020-08-31,California,6,712541,13020,2020,8
2020-08-31,Colorado,8,57797,1952,2020,8
2020-08-31,Connecticut,9,52879,4465,2020,8
2020-08-31,Delaware,10,17429,605,2020,8
2020-08-31,District of Columbia,11,13992,607,2020,8
2020-08-31,Florida,12,623463,11186,2020,8
2020-08-31,Georgia,13,254238,5506,2020,8
2020-08-31,Guam,66,2364,11,2020,8
2020-08-31,Hawaii,15,8447,69,2020,8
2020-08-31,Idaho,16,32256,364,2020,8
2020-08-31,Illinois,17,237682,8258,2020,8
2020-08-31,Indiana,18,96277,3296,2020,8
2020-08-31,Iowa,19,65252,1120,2020,8
2020-08-31,Kansas,20,43407,451,2020,8
2020-08-31,Kentucky,21,50884,965,2020,8
2020-08-31,Louisiana,22,148894,4950,2020,8
2020-08-31,Maine,23,4526,132,2020,8
2020-08-31,Maryland,24,108742,3755,2020,8
2020-08-31,Massachusetts,25,128533,9060,2020,8
2020-08-31,Michigan,26,113163,6756,2020,8
2020-08-31,Minnesota,27,75913,1866,2020,8
2020-08-31,Mississippi,28,82950,2473,2020,8
2020-08-31,Missouri,29,86328,1623,2020,8
2020-08-31,Montana,30,7440,104,2020,8
2020-08-31,Nebraska,31,34287,402,2020,8
2020-08-31,Nevada,32,69318,1305,2020,8
2020-08-31,New Hampshire,33,7275,432,2020,8
2020-08-31,New Jersey,34,193740,15945,2020,8
2020-08-31,New Mexico,35,25352,779,2020,8
2020-08-31,New York,36,439480,32541,2020,8
2020-08-31,North Carolina,37,167989,2733,2020,8
2020-08-31,North Dakota,38,11820,147,2020,8
2020-08-31,Northern Mariana Islands,69,56,2,2020,8
2020-08-31,Ohio,39,123157,4138,2020,8
2020-08-31,Oklahoma,40,58733,800,2020,8
2020-08-31,Oregon,41,26723,467,2020,8
2020-08-31,Pennsylvania,42,138840,7743,2020,8
2020-08-31,Puerto Rico,72,33199,434,2020,8
2020-08-31,Rhode Island,44,21949,1048,2020,8
2020-08-31,South Carolina,45,118992,2720,2020,8
2020-08-31,South Dakota,46,13509,167,2020,8
2020-08-31,Tennessee,47,152033,1727,2020,8
2020-08-31,Texas,48,640317,12857,2020,8
2020-08-31,Utah,49,52166,409,2020,8
2020-08-31,Vermont,50,1624,58,2020,8
2020-08-31,Virgin Islands,78,1139,15,2020,8
2020-08-31,Virginia,51,120594,2580,2020,8
2020-08-31,Washington,53,77718,2002,2020,8
2020-08-31,West Virginia,54,10250,214,2020,8
2020-08-31,Wisconsin,55,80733,1132,2020,8
2020-08-31,Wyoming,56,3842,37,2020,8
2020-09-30,Alabama,1,154701,2540,2020,9
2020-09-30,Alaska,2,8707,52,2020,9
2020-09-30,Arizona,4,218511,5654,2020,9
2020-09-30,Arkansas,5,83697,1369,2020,9
2020-09-30,California,6,821125,15898,2020,9
2020-09-30,Colorado,8,71090,2061,2020,9
2020-09-30,Connecticut,9,57550,4508,2020,9
2020-09-30,Delaware,10,20613,636,2020,9
2020-09-30,District of Columbia,11,15326,627,2020,9
2020-09-30,Florida,12,706508,14316,2020,9
2020-09-30,Georgia,13,301485,6861,2020,9
2020-09-30,Guam,66,3457,50,2020,9
2020-09-30,Hawaii,15,12555,135,2020,9
2020-09-30,Idaho,16,42549,469,2020,9
2020-09-30,Illinois,17,296935,8935,2020,9
2020-09-30,Indiana,18,122295,3632,2020,9
2020-09-30,Iowa,19,89248,1358,2020,9
2020-09-30,Kansas,20,60957,678,2020,9
2020-09-30,Kentucky,21,72830,1208,2020,9
2020-09-30,Louisiana,22,167458,5511,2020,9
2020-09-30,Maine,23,5391,141,2020,9
2020-09-30,Maryland,24,125217,3949,2020,9
2020-09-30,Massachusetts,25,132116,9456,2020,9
2020-09-30,Michigan,26,138074,7084,2020,9
2020-09-30,Minnesota,27,99187,2089,2020,9
2020-09-30,Mississippi,28,98190,2969,2020,9
2020-09-30,Missouri,29,130065,2157,2020,9
2020-09-30,Montana,30,13179,180,2020,9
2020-09-30,Nebraska,31,45564,493,2020,9
2020-09-30,Nevada,32,80084,1600,2020,9
2020-09-30,New Hampshire,33,8266,439,2020,9
2020-09-30,New Jersey,34,207062,16122,2020,9
2020-09-30,New Mexico,35,29435,877,2020,9
2020-09-30,New York,36,463369,32757,2020,9
2020-09-30,North Carolina,37,211004,3565,2020,9
2020-09-30,North Dakota,38,21849,250,2020,9
2020-09-30,Northern Mariana Islands,69,70,2,2020,9
2020-09-30,Ohio,39,153987,4804,2020,9
